Bulk density,Initial C/N ratio,Initial moisture content,Initial pH,Composting duration,Reactor volume,Composting type,Bulking agent type,Treatment condition,Turning regime,Aeration regime,Score
0.33,24.4,61.37,5.5,8,180,Single-material composting,Rice husk,No adjustment,Fixed turning,Fixed intermittent aeration,75.21
0.4,23.45,64.04,6.4231,35,65,Single-material composting,No bulking agent,No adjustment,Fixed turning,Fixed intermittent aeration,74.38
0.5,25.74,56.73,7.18,56,20,Single-material composting,Wood chips,Physicochemical additive,Fixed turning,Fixed continuous aeration,87.8
0.33,41.9,61.37,4.8,8,180,Single-material composting,Rice husk,No adjustment,Fixed turning,Fixed intermittent aeration,79.39
0.31,25,40,4.8,18,16,Single-material composting,No bulking agent,Microbial inoculant,Fixed turning,Fixed continuous aeration,73.68
0.13,50.47,61.37,6.5,150,10000,Mixed-material composting,No bulking agent,Adjustment of initial C/N or moisture content,Fixed turning,No aeration,86.11
0.33,19,63.55,4.9,30,60,Single-material composting,Crop stalk,Physicochemical additive,Fixed turning,Fixed continuous aeration,74.78
0.46,17.67,65.63,5.2,30,60,Single-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,78.05
0.33,32.19,69.7,6.7495,105,30,Mixed-material composting,No bulking agent,No adjustment,Fixed turning,Fixed continuous aeration,77.78
0.33,26.28,58.25,6.607,9,60,Single-material composting,Leaves,No adjustment,Fixed turning,Fixed continuous aeration,83.83
0.33,32,61.37,6.1,85,62,Single-material composting,Wood chips,Pretreatment,Variable turning,Fixed continuous aeration,80.79
0.2,27,70,5.8,40,40,Single-material composting,Wood chips,Pretreatment,Fixed turning,Fixed continuous aeration,83.6
0.5,33.68,55.49,6.64,27,60,Single-material composting,Mixed bulking agents,Combined treatment,Variable turning,Fixed intermittent aeration,72.73
0.33,25,66.9,5.75,28,60,Single-material composting,No bulking agent,No adjustment,Fixed turning,Fixed intermittent aeration,76.89
0.33,26.2,59.34,5.6,30,60,Single-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,81.71
0.33,16.2,60,6.2,12,30,Single-material composting,Mixed bulking agents,Adjustment of initial C/N or moisture content,Fixed turning,Fixed continuous aeration,70.55
0.33,25,61.37,6.04,17,60,Single-material composting,Leaves,Combined treatment,Fixed turning,Fixed continuous aeration,67
0.33,25.73,61.37,4.754,35,60,Single-material composting,Other,No adjustment,Variable turning,Fixed continuous aeration,84.21
0.58,25,61.37,5.7,15,60,Mixed-material composting,Crop stalk,Microbial inoculant,Fixed turning,Fixed continuous aeration,84.32
0.33,25,60.53,6.2,30,60,Single-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,69.6
0.33,38.74,59.43,6.873,60,60,Single-material composting,No bulking agent,Adjustment of initial C/N or moisture content,Fixed turning,Fixed continuous aeration,71.01
0.33,25.25,60,4.77,42,30,Mixed-material composting,Wood chips,No adjustment,Fixed turning,Fixed continuous aeration,88.13
0.33,25,61.37,5.244,18,60,Single-material composting,No bulking agent,Pretreatment,Fixed turning,Fixed continuous aeration,55.25
0.2,29,30,5,22,60,Single-material composting,Wood chips,Physicochemical additive,Fixed turning,Fixed continuous aeration,82.77
0.33,14.5,70,6.2,12,30,Single-material composting,Mixed bulking agents,Adjustment of initial C/N or moisture content,Fixed turning,Fixed continuous aeration,69
0.33,25,61.37,6.2,90,60,Single-material composting,No bulking agent,Physicochemical additive,Variable turning,Fixed continuous aeration,74.4
0.57,23.3,55.1,4.9,60,140,Single-material composting,Leaves,No adjustment,Fixed turning,Fixed continuous aeration,67.28
0.3,29.49,58.94,6.78186,21,10,Single-material composting,Rice husk,Combined treatment,Fixed turning,Fixed continuous aeration,72.54
0.3,19.5,63,7.28,20,30,Single-material composting,Crop stalk,Combined treatment,Fixed turning,Fixed continuous aeration,83.17
0.3,33.49,54.96,6.71112,21,10,Single-material composting,Rice husk,Combined treatment,Fixed turning,Fixed continuous aeration,73.11
0.33,21.02,61.37,5.5,10,60,Single-material composting,Wood chips,Physicochemical additive,Fixed turning,Fixed continuous aeration,74.08
0.25,26.85,57.42,5.2389,30,60,Single-material composting,Wheat bran,No adjustment,Fixed turning,Variable continuous aeration,71.66
0.24,25,65,6.7,30,430,Single-material composting,No bulking agent,Microbial inoculant,Fixed turning,Fixed continuous aeration,73.45
0.33,31.5,57.59,6.7,28,60,Single-material composting,Crop stalk,No adjustment,Fixed turning,Fixed intermittent aeration,81.8
0.35,28.9,54.7,8.5,29,20,Single-material composting,Wood chips,Adjustment of initial C/N or moisture content,Fixed turning,Fixed continuous aeration,76.75
0.27,20,67,7.21,20,30,Mixed-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,85.01
0.33,29,61.37,6.2,85,62,Single-material composting,Wood chips,Pretreatment,Variable turning,Fixed continuous aeration,82.99
0.58,25,61.37,5.7,15,60,Mixed-material composting,Crop stalk,Microbial inoculant,Fixed turning,Fixed continuous aeration,76.81
0.2,27,70,5.08,40,40,Single-material composting,Wood chips,Microbial inoculant,Fixed turning,Fixed continuous aeration,82.68
0.25,25,67,5.24,30,60,Single-material composting,Wheat bran,No adjustment,Fixed turning,Fixed continuous aeration,75.65
0.33,29.53,60.18,7.2933,21,20,Single-material composting,Mixed bulking agents,Microbial inoculant,Fixed turning,Fixed continuous aeration,83.08
0.33,25.7,61.37,4.87,35,60,Single-material composting,Leaves,No adjustment,Variable turning,Fixed continuous aeration,78.37
0.4,17,52.44,11.8,42,20,Single-material composting,Wood chips,Physicochemical additive,Fixed turning,Fixed continuous aeration,80.23
0.25,26.98,60.42,5.2507,30,60,Single-material composting,Other,No adjustment,Fixed turning,Variable continuous aeration,71.38
